Header line
Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,15343,30.73781,112.2384
Guangdong,Mainland China,2020-02-23T08:53:02,1342,6,755,23.37903,113.7633
Henan,Mainland China,2020-02-23T10:23:02,1271,19,868,34.29043,113.3824
Zhejiang,Mainland China,2020-02-23T13:43:02,1205,1,760,29.14164,119.7889
Hunan,Mainland China,2020-02-23T10:33:03,1016,4,714,38.85133,-76.89086
Anhui,Mainland China,2020-02-23T10:53:02,989,6,637,31.84744,117.2882
Jiangxi,Mainland China,2020-02-23T09:23:02,934,1,613,27.08746,114.9042
Shandong,Mainland China,2020-02-23T11:33:03,754,4,321,35.89396,117.9249
Diamond Princess cruise ship,Others,2020-02-23T22:33:03,691,3,0,0,0
Jiangsu,Mainland China,2020-02-23T08:53:02,631,0,418,33.14017,119.7889
,South Korea,2020-02-23T23:33:07,602,6,18,35.90776,127.7669
Chongqing,Mainland China,2020-02-23T23:13:05,575,6,335,29.43159,106.9123
Sichuan,Mainland China,2020-02-23T08:53:02,526,3,261,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-23T13:43:02,480,12,222,47.12165,128.7382
Beijing,Mainland China,2020-02-23T01:13:13,399,4,189,39.9042,116.4074
Shanghai,Mainland China,2020-02-23T03:13:07,335,3,249,31.23042,121.4737
Hebei,Mainland China,2020-02-23T11:33:03,311,6,219,38.95023,115.3324
Fujian,Mainland China,2020-02-23T10:33:03,293,1,170,24.49435,118.4163
Guangxi,Mainland China,2020-02-23T10:33:03,249,2,106,23.72476,108.8076
Shaanxi,Mainland China,2020-02-23T12:13:14,245,1,163,35.39399,109.188
Yunnan,Mainland China,2020-02-23T05:33:03,174,2,115,24.47528,101.3431
Hainan,Mainland China,2020-02-23T23:23:03,168,5,106,19.56639,109.9497
,Italy,2020-02-23T23:43:02,155,3,2,41.87194,12.56738
,Japan,2020-02-23T23:33:07,147,1,22,36.20482,138.2529
Guizhou,Mainland China,2020-02-23T12:43:02,146,2,102,26.84296,107.2903
Tianjin,Mainland China,2020-02-23T12:43:02,135,3,81,39.34336,117.3616
Shanxi,Mainland China,2020-02-23T23:03:08,132,0,88,37.24257,111.8569
Liaoning,Mainland China,2020-02-23T13:33:02,121,1,73,41.94365,122.529
Gansu,Mainland China,2020-02-23T13:23:06,91,2,78,35.75183,104.2861
Jilin,Mainland China,2020-02-23T12:43:02,91,1,54,43.83788,126.5496
,Singapore,2020-02-23T15:13:15,89,0,51,1.352083,103.8198
Xinjiang,Mainland China,2020-02-23T14:43:04,76,2,28,42.52464,87.53959
Inner Mongolia,Mainland China,2020-02-23T09:43:02,75,0,27,43.37822,115.0595
Hong Kong,Hong Kong,2020-02-23T09:53:02,74,2,11,22.3193,114.1694
Ningxia,Mainland China,2020-02-23T05:33:03,71,0,56,37.19873,106.1581
,Iran,2020-02-23T15:13:15,43,8,0,32.42791,53.68805
,Thailand,2020-02-23T15:03:05,35,0,21,15.87003,100.9925
Taiwan,Taiwan,2020-02-23T09:53:02,28,1,2,23.69781,120.9605
,Malaysia,2020-02-19T09:33:03,22,0,15,4.210484,101.9758
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7448,96.40774
,Germany,2020-02-21T23:03:13,16,0,14,51.16569,10.45153
,Vietnam,2020-02-21T06:03:04,16,0,14,14.05832,108.2772
,United Arab Emirates,2020-02-22T14:53:02,13,0,4,23.42408,53.84782
,France,2020-02-15T20:53:02,12,1,4,46.22764,2.213749
"Omaha, NE (From Diamond Princess)",US,2020-02-22T23:03:09,11,0,0,41.25738,-95.96478
Macau,Macau,2020-02-20T02:13:19,10,0,6,22.19875,113.5439
,UK,2020-02-16T16:23:06,9,0,8,55.37805,-3.435973
From Diamond Princess,Australia,2020-02-22T17:03:05,7,0,0,0,0
British Columbia,Canada,2020-02-21T05:23:04,6,0,0,53.72667,-127.6476
Queensland,Australia,2020-02-21T05:43:02,5,0,1,-20.91757,142.7028
"Travis, CA (From Diamond Princess)",US,2020-02-22T17:13:24,5,0,0,36.77826,-119.4179
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,-31.25322,146.9211
Victoria,Australia,2020-02-13T17:53:03,4,0,4,-37.47131,144.7852
,India,2020-02-16T07:43:02,3,0,3,20.59368,78.96288
,Philippines,2020-02-12T07:43:02,3,1,1,12.87972,121.774
South Australia,Australia,2020-02-17T08:13:09,2,0,2,-30.00023,136.2092
"Toronto, ON",Canada,2020-02-21T05:23:04,2,0,2,43.65322,-79.38319
,Russia,2020-02-12T14:43:03,2,0,2,61.52401,105.3188
,Spain,2020-02-15T17:23:04,2,0,2,40.46367,-3.74922
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,41.87811,-87.6298
"Lackland, TX (From Diamond Princess)",US,2020-02-22T17:13:24,2,0,0,29.38778,-98.62052
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.57609,-120.9876
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.71573,-117.1611
"Santa Clara, CA",US,2020-02-21T05:23:04,2,0,1,37.35411,-121.9552
,Belgium,2020-02-17T04:23:06,1,0,1,50.50389,4.469936
,Cambodia,2020-02-12T07:43:02,1,0,1,12.56568,104.991
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.98492,-81.24528
,Egypt,2020-02-21T18:53:02,1,0,0,26.82055,30.8025
,Finland,2020-02-12T00:03:12,1,0,1,61.92411,25.74815
From Diamond Princess,Israel,2020-02-22T20:53:02,1,0,0,0,0
,Lebanon,2020-02-22T20:53:02,1,0,0,33.85472,35.86229
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,30.15336,88.78786
,Nepal,2020-02-12T14:43:03,1,0,1,28.39486,84.12401
