Header line
Hubei,Mainland China,1/31/2020 23:59,5806,204,141,30.73781,112.2384
Zhejiang,Mainland China,1/31/2020 23:59,538,,14,29.14164,119.7889
Guangdong,Mainland China,1/31/2020 23:59,436,,11,23.37903,113.7633
Henan,Mainland China,1/31/2020 23:59,352,2,3,34.29043,113.3824
Hunan,Mainland China,1/31/2020 23:59,332,,2,38.85133,-76.89086
Jiangxi,Mainland China,1/31/2020 23:59,240,,7,27.08746,114.9042
Anhui,Mainland China,1/31/2020 23:59,237,,3,31.84744,117.2882
Chongqing,Mainland China,1/31/2020 23:59,211,,1,29.43159,106.9123
Shandong,Mainland China,1/31/2020 23:59,184,,2,35.89396,117.9249
Sichuan,Mainland China,1/31/2020 23:59,177,1,1,30.2638,102.8055
Jiangsu,Mainland China,1/31/2020 23:59,168,,5,33.14017,119.7889
Beijing,Mainland China,1/31/2020 23:59,139,1,5,39.9042,116.4074
Shanghai,Mainland China,1/31/2020 23:59,135,1,9,31.23042,121.4737
Fujian,Mainland China,1/31/2020 23:59,120,,,24.49435,118.4163
Guangxi,Mainland China,1/31/2020 23:59,87,,2,23.72476,108.8076
Shaanxi,Mainland China,1/31/2020 23:59,87,,,35.39399,109.188
Yunnan,Mainland China,1/31/2020 23:59,83,,1,24.47528,101.3431
Hebei,Mainland China,1/31/2020 23:59,82,1,,38.95023,115.3324
Heilongjiang,Mainland China,1/31/2020 23:59,59,2,,47.12165,128.7382
Hainan,Mainland China,1/31/2020 23:59,52,1,1,19.56639,109.9497
Liaoning,Mainland China,1/31/2020 23:59,48,,1,41.94365,122.529
Shanxi,Mainland China,1/31/2020 23:59,39,,1,37.24257,111.8569
Tianjin,Mainland China,1/31/2020 23:59,32,,,39.34336,117.3616
Guizhou,Mainland China,1/31/2020 23:59,29,,2,26.84296,107.2903
Gansu,Mainland China,1/31/2020 23:59,29,,,35.75183,104.2861
Ningxia,Mainland China,1/31/2020 23:59,21,,,37.19873,106.1581
Inner Mongolia,Mainland China,1/31/2020 23:59,20,,1,43.37822,115.0595
Xinjiang,Mainland China,1/31/2020 23:59,17,,,42.52464,87.53959
Jilin,Mainland China,1/31/2020 23:59,14,,1,43.83788,126.5496
Hong Kong,Hong Kong,1/31/2020 23:59,12,,,22.3193,114.1694
Taiwan,Taiwan,1/31/2020 23:59,10,,,23.69781,120.9605
Qinghai,Mainland China,1/31/2020 23:59,8,,,35.7448,96.40774
Macau,Macau,1/31/2020 23:59,7,,,22.19875,113.5439
Tibet,Mainland China,1/31/2020 23:59,1,,,30.15336,88.78786
,Thailand,1/31/2020 23:59,19,,5,15.87003,100.9925
,Japan,1/31/2020 23:59,15,,1,36.20482,138.2529
,Singapore,1/31/2020 23:59,13,,,1.352083,103.8198
,South Korea,1/31/2020 23:59,11,,,35.90776,127.7669
,Malaysia,1/31/2020 23:59,8,,,4.210484,101.9758
,France,1/31/2020 23:59,5,,,46.22764,2.213749
Bavaria,Germany,1/31/2020 23:59,5,,,48.79045,11.49789
New South Wales,Australia,1/31/2020 23:59,4,,2,-31.25322,146.9211
,United Arab Emirates,1/31/2020 23:59,4,,,23.42408,53.84782
Victoria,Australia,1/31/2020 23:59,3,,,-37.47131,144.7852
Illinois,US,1/31/2020 23:59,2,,,40.63313,-89.39853
California,US,1/31/2020 23:59,2,,,36.77826,-119.4179
,Vietnam,1/31/2020 23:59,2,,,14.05832,108.2772
Ontario,Canada,1/31/2020 23:59,2,,,51.25378,-85.32321
Queensland,Australia,1/31/2020 23:59,2,,,-20.91757,142.7028
,Italy,1/31/2020 23:59,2,,,41.87194,12.56738
,UK,1/31/2020 23:59,2,,,55.37805,-3.435973
,Russia,1/31/2020 23:59,2,,,61.52401,105.3188
Washington,US,1/31/2020 23:59,1,,,47.75108,-120.7401
Arizona,US,1/31/2020 23:59,1,,,34.04893,-111.0937
,Nepal,1/31/2020 23:59,1,,,28.39486,84.12401
British Columbia,Canada,1/31/2020 23:59,1,,,53.72667,-127.6476
,Cambodia,1/31/2020 23:59,1,,,12.56568,104.991
,Sri Lanka,1/31/2020 23:59,1,,,7.873054,80.7718
,Finland,1/31/2020 23:59,1,,,61.92411,25.74815
,Philippines,1/31/2020 23:59,1,,,12.87972,121.774
,India,1/31/2020 23:59,1,,,20.59368,78.96288
,Sweden,1/31/2020 23:59,1,,,60.12816,18.6435
