Header line
Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686,30.73781,112.2384
Guangdong,Mainland China,2020-02-12T12:23:09,1219,1,275,23.37903,113.7633
Henan,Mainland China,2020-02-12T14:13:08,1135,8,246,34.29043,113.3824
Zhejiang,Mainland China,2020-02-12T10:13:20,1131,0,321,29.14164,119.7889
Hunan,Mainland China,2020-02-12T12:43:03,946,2,304,38.85133,-76.89086
Anhui,Mainland China,2020-02-12T10:13:20,889,4,127,31.84744,117.2882
Jiangxi,Mainland China,2020-02-12T01:23:06,844,1,152,27.08746,114.9042
Jiangsu,Mainland China,2020-02-12T14:13:08,543,0,125,33.14017,119.7889
Chongqing,Mainland China,2020-02-12T23:13:08,518,3,102,29.43159,106.9123
Shandong,Mainland China,2020-02-12T11:13:05,497,2,92,35.89396,117.9249
Sichuan,Mainland China,2020-02-12T12:43:03,436,1,92,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-12T14:13:08,378,8,31,47.12165,128.7382
Beijing,Mainland China,2020-02-12T02:43:03,352,3,56,39.9042,116.4074
Shanghai,Mainland China,2020-02-12T06:23:08,311,1,57,31.23042,121.4737
Fujian,Mainland China,2020-02-12T11:53:02,272,0,53,24.49435,118.4163
Hebei,Mainland China,2020-02-12T11:13:05,251,2,54,38.95023,115.3324
Shaanxi,Mainland China,2020-02-12T11:13:05,225,0,43,35.39399,109.188
Guangxi,Mainland China,2020-02-12T15:03:05,222,1,32,23.72476,108.8076
Diamond Princess cruise ship,Others,2020-02-12T04:23:38,175,0,0,0,0
Hainan,Mainland China,2020-02-12T17:03:03,157,4,27,19.56639,109.9497
Yunnan,Mainland China,2020-02-12T14:13:08,154,0,26,24.47528,101.3431
Guizhou,Mainland China,2020-02-12T09:43:02,133,1,18,26.84296,107.2903
Shanxi,Mainland China,2020-02-12T23:03:02,126,0,33,37.24257,111.8569
Liaoning,Mainland China,2020-02-12T13:33:02,116,1,20,41.94365,122.529
Tianjin,Mainland China,2020-02-12T15:03:05,112,2,11,39.34336,117.3616
Gansu,Mainland China,2020-02-12T23:23:01,87,2,31,35.75183,104.2861
Jilin,Mainland China,2020-02-12T14:13:08,83,1,22,43.83788,126.5496
Inner Mongolia,Mainland China,2020-02-12T11:13:05,60,0,6,43.37822,115.0595
Xinjiang,Mainland China,2020-02-12T01:43:02,59,0,3,42.52464,87.53959
Ningxia,Mainland China,2020-02-12T11:13:05,58,0,24,37.19873,106.1581
Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1,22.3193,114.1694
,Singapore,2020-02-12T19:53:02,50,0,15,1.352083,103.8198
,Thailand,2020-02-11T18:43:04,33,0,10,15.87003,100.9925
,Japan,2020-02-12T02:43:03,28,0,9,36.20482,138.2529
,South Korea,2020-02-12T14:43:03,28,0,7,35.90776,127.7669
Qinghai,Mainland China,2020-02-12T08:03:06,18,0,9,35.7448,96.40774
,Malaysia,2020-02-11T03:13:13,18,0,3,4.210484,101.9758
Taiwan,Taiwan,2020-02-09T09:13:11,18,0,1,23.69781,120.9605
,Germany,2020-02-11T19:33:03,16,0,0,51.16569,10.45153
,Vietnam,2020-02-11T16:43:06,15,0,6,14.05832,108.2772
,France,2020-02-12T18:53:02,11,0,2,46.22764,2.213749
Macau,Macau,2020-02-12T09:53:02,10,0,2,22.19875,113.5439
,UK,2020-02-12T19:03:06,9,0,1,55.37805,-3.435973
,United Arab Emirates,2020-02-12T00:33:02,8,0,1,23.42408,53.84782
Queensland,Australia,2020-02-09T19:33:02,5,0,0,-20.91757,142.7028
New South Wales,Australia,2020-02-06T03:13:22,4,0,2,-31.25322,146.9211
Victoria,Australia,2020-02-01T18:12:49,4,0,0,-37.47131,144.7852
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,53.72667,-127.6476
,India,2020-02-03T21:43:02,3,0,0,20.59368,78.96288
,Italy,2020-02-07T17:53:02,3,0,0,41.87194,12.56738
,Philippines,2020-02-12T07:43:02,3,1,1,12.87972,121.774
South Australia,Australia,2020-02-02T22:33:07,2,0,0,-30.00023,136.2092
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,43.65322,-79.38319
,Russia,2020-02-12T14:43:03,2,0,2,61.52401,105.3188
,Spain,2020-02-09T20:33:03,2,0,0,40.46367,-3.74922
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,41.87811,-87.6298
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.57609,-120.9876
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,37.35411,-121.9552
,Belgium,2020-02-04T15:43:02,1,0,0,50.50389,4.469936
,Cambodia,2020-02-12T07:43:02,1,0,1,12.56568,104.991
