Header line
Hubei,Mainland China,2020-02-17T23:13:06,59989,1789,7862,30.73781,112.2384
Guangdong,Mainland China,2020-02-17T12:43:02,1322,4,524,23.37903,113.7633
Henan,Mainland China,2020-02-17T14:53:02,1246,16,509,34.29043,113.3824
Zhejiang,Mainland China,2020-02-17T11:23:06,1171,0,507,29.14164,119.7889
Hunan,Mainland China,2020-02-17T11:43:01,1006,3,498,38.85133,-76.89086
Anhui,Mainland China,2020-02-17T09:13:07,973,6,280,31.84744,117.2882
Jiangxi,Mainland China,2020-02-17T01:33:02,930,1,275,27.08746,114.9042
Jiangsu,Mainland China,2020-02-17T10:23:04,626,0,258,33.14017,119.7889
Chongqing,Mainland China,2020-02-17T23:13:06,553,5,225,29.43159,106.9123
Shandong,Mainland China,2020-02-17T11:03:06,541,2,191,35.89396,117.9249
Sichuan,Mainland China,2020-02-17T13:13:09,495,3,156,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-17T08:03:06,457,11,85,47.12165,128.7382
Diamond Princess cruise ship,Others,2020-02-17T14:33:04,454,0,0,0,0
Beijing,Mainland China,2020-02-17T01:23:02,381,4,114,39.9042,116.4074
Shanghai,Mainland China,2020-02-17T23:53:02,333,1,161,31.23042,121.4737
Hebei,Mainland China,2020-02-17T13:03:06,301,3,122,38.95023,115.3324
Fujian,Mainland China,2020-02-17T10:23:04,290,0,90,24.49435,118.4163
Shaanxi,Mainland China,2020-02-17T11:43:01,240,0,79,35.39399,109.188
Guangxi,Mainland China,2020-02-17T10:23:04,238,2,53,23.72476,108.8076
Yunnan,Mainland China,2020-02-17T10:23:04,171,0,47,24.47528,101.3431
Hainan,Mainland China,2020-02-17T11:03:06,163,4,59,19.56639,109.9497
Guizhou,Mainland China,2020-02-17T11:13:16,146,1,57,26.84296,107.2903
Shanxi,Mainland China,2020-02-17T22:53:01,130,0,53,37.24257,111.8569
Tianjin,Mainland China,2020-02-17T12:43:02,125,3,46,39.34336,117.3616
Liaoning,Mainland China,2020-02-17T11:13:16,121,1,43,41.94365,122.529
Gansu,Mainland China,2020-02-17T14:53:02,91,2,58,35.75183,104.2861
Jilin,Mainland China,2020-02-17T11:03:06,89,1,34,43.83788,126.5496
,Singapore,2020-02-17T14:33:04,77,0,24,1.352083,103.8198
Xinjiang,Mainland China,2020-02-17T01:53:01,75,1,12,42.52464,87.53959
Inner Mongolia,Mainland China,2020-02-17T02:03:06,72,0,8,43.37822,115.0595
Ningxia,Mainland China,2020-02-17T11:03:06,70,0,35,37.19873,106.1581
,Japan,2020-02-17T14:33:04,66,1,12,36.20482,138.2529
Hong Kong,Hong Kong,2020-02-17T22:53:01,60,1,2,22.3193,114.1694
,Thailand,2020-02-17T07:33:02,35,0,15,15.87003,100.9925
,South Korea,2020-02-17T23:43:01,30,0,10,35.90776,127.7669
,Malaysia,2020-02-15T23:43:02,22,0,7,4.210484,101.9758
Taiwan,Taiwan,2020-02-17T15:43:02,22,1,2,23.69781,120.9605
Qinghai,Mainland China,2020-02-15T08:43:03,18,0,13,35.7448,96.40774
,Germany,2020-02-13T15:13:11,16,0,1,51.16569,10.45153
,Vietnam,2020-02-13T06:33:02,16,0,7,14.05832,108.2772
,France,2020-02-15T20:53:02,12,1,4,46.22764,2.213749
Macau,Macau,2020-02-16T12:03:06,10,0,5,22.19875,113.5439
,UK,2020-02-16T16:23:06,9,0,8,55.37805,-3.435973
,United Arab Emirates,2020-02-16T20:43:02,9,0,4,23.42408,53.84782
Queensland,Australia,2020-02-09T19:33:02,5,0,0,-20.91757,142.7028
British Columbia,Canada,2020-02-17T08:03:07,5,0,0,53.72667,-127.6476
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,-31.25322,146.9211
Victoria,Australia,2020-02-13T17:53:03,4,0,4,-37.47131,144.7852
,India,2020-02-16T07:43:02,3,0,3,20.59368,78.96288
,Italy,2020-02-07T17:53:02,3,0,0,41.87194,12.56738
,Philippines,2020-02-12T07:43:02,3,1,1,12.87972,121.774
South Australia,Australia,2020-02-17T08:13:09,2,0,2,-30.00023,136.2092
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,43.65322,-79.38319
,Russia,2020-02-12T14:43:03,2,0,2,61.52401,105.3188
,Spain,2020-02-15T17:23:04,2,0,2,40.46367,-3.74922
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,41.87811,-87.6298
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.57609,-120.9876
"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0,32.71573,-117.1611
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,37.35411,-121.9552
,Belgium,2020-02-17T04:23:06,1,0,1,50.50389,4.469936
,Cambodia,2020-02-12T07:43:02,1,0,1,12.56568,104.991
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.98492,-81.24528
,Egypt,2020-02-14T23:53:02,1,0,0,26.82055,30.8025
,Finland,2020-02-12T00:03:12,1,0,1,61.92411,25.74815
