Header line
Hubei,Mainland China,1/27/20 23:59,1423,76,45,30.73781,112.2384
Guangdong,Mainland China,1/27/20 23:59,151,,4,23.37903,113.7633
Zhejiang,Mainland China,1/27/20 23:59,128,,1,29.14164,119.7889
Henan,Mainland China,1/27/20 23:59,128,1,,34.29043,113.3824
Chongqing,Mainland China,1/27/20 23:59,110,,,29.43159,106.9123
Hunan,Mainland China,1/27/20 23:59,100,,,38.85133,-76.89086
Beijing,Mainland China,1/27/20 23:59,80,1,2,39.9042,116.4074
Shandong,Mainland China,1/27/20 23:59,75,,,35.89396,117.9249
Jiangxi,Mainland China,1/27/20 23:59,72,,2,27.08746,114.9042
Anhui,Mainland China,1/27/20 23:59,70,,,31.84744,117.2882
Sichuan,Mainland China,1/27/20 23:59,69,,,30.2638,102.8055
Fujian,Mainland China,1/27/20 23:59,59,,,24.49435,118.4163
Shanghai,Mainland China,1/27/20 23:59,53,1,3,31.23042,121.4737
Jiangsu,Mainland China,1/27/20 23:59,47,,1,33.14017,119.7889
Guangxi,Mainland China,1/27/20 23:59,46,,,23.72476,108.8076
Shaanxi,Mainland China,1/27/20 23:59,35,,,35.39399,109.188
Hainan,Mainland China,1/27/20 23:59,33,1,,19.56639,109.9497
Liaoning,Mainland China,1/27/20 23:59,27,,,41.94365,122.529
Yunnan,Mainland China,1/27/20 23:59,26,,,24.47528,101.3431
Tianjin,Mainland China,1/27/20 23:59,23,,,39.34336,117.3616
Heilongjiang,Mainland China,1/27/20 23:59,21,1,,47.12165,128.7382
Hebei,Mainland China,1/27/20 23:59,18,1,,38.95023,115.3324
Gansu,Mainland China,1/27/20 23:59,14,,,35.75183,104.2861
Shanxi,Mainland China,1/27/20 23:59,13,,,37.24257,111.8569
Inner Mongolia,Mainland China,1/27/20 23:59,11,,,43.37822,115.0595
Hong Kong,Hong Kong,1/27/20 23:59,8,,,22.3193,114.1694
Guizhou,Mainland China,1/27/20 23:59,7,,,26.84296,107.2903
Ningxia,Mainland China,1/27/20 23:59,7,,,37.19873,106.1581
Jilin,Mainland China,1/27/20 23:59,6,,,43.83788,126.5496
Macau,Macau,1/27/20 23:59,6,,,22.19875,113.5439
Qinghai,Mainland China,1/27/20 23:59,6,,,35.7448,96.40774
Taiwan,Taiwan,1/27/20 23:59,5,,,23.69781,120.9605
Xinjiang,Mainland China,1/27/20 23:59,5,,,42.52464,87.53959
Washington,US,1/27/20 23:59,1,,,47.75108,-120.7401
Illinois,US,1/27/20 23:59,1,,,40.63313,-89.39853
California,US,1/27/20 23:59,2,,,36.77826,-119.4179
Arizona,US,1/27/20 23:59,1,,,34.04893,-111.0937
,Japan,1/27/20 23:59,4,,1,36.20482,138.2529
,Thailand,1/27/20 23:59,8,,2,15.87003,100.9925
,South Korea,1/27/20 23:59,4,,,35.90776,127.7669
,Singapore,1/27/20 23:59,5,,,1.352083,103.8198
,Vietnam,1/27/20 23:59,2,,,14.05832,108.2772
,France,1/27/20 23:59,3,,,46.22764,2.213749
,Nepal,1/27/20 23:59,1,,,28.39486,84.12401
,Malaysia,1/27/20 23:59,4,,,4.210484,101.9758
Ontario,Canada,1/27/20 23:59,1,,,51.25378,-85.32321
,Cambodia,1/27/20 23:59,1,,,12.56568,104.991
,Sri Lanka,1/27/20 23:59,1,,,7.873054,80.7718
,Ivory Coast,1/27/20 23:59,1,,,7.539989,-5.54708
New South Wales,Australia,1/27/20 23:59,4,,,-31.25322,146.9211
Victoria,Australia,1/27/20 23:59,1,,,-37.47131,144.7852
