Header line
Hubei,Mainland China,2020-02-26T14:13:10,65187,2615,20969,30.73781,112.2384
Guangdong,Mainland China,2020-02-26T10:33:02,1347,7,851,23.37903,113.7633
Henan,Mainland China,2020-02-26T10:33:02,1271,19,1033,34.29043,113.3824
,South Korea,2020-02-26T11:03:11,1261,12,22,35.90776,127.7669
Zhejiang,Mainland China,2020-02-26T10:33:02,1205,1,867,29.14164,119.7889
Hunan,Mainland China,2020-02-26T10:13:11,1016,4,783,38.85133,-76.89086
Anhui,Mainland China,2020-02-26T10:13:11,989,6,744,31.84744,117.2882
Jiangxi,Mainland China,2020-02-26T01:13:04,934,1,719,27.08746,114.9042
Shandong,Mainland China,2020-02-26T12:43:02,756,6,377,35.89396,117.9249
Diamond Princess cruise ship,Others,2020-02-26T19:33:02,705,4,10,0,0
Jiangsu,Mainland China,2020-02-26T10:13:11,631,0,478,33.14017,119.7889
Chongqing,Mainland China,2020-02-26T23:43:02,576,6,384,29.43159,106.9123
Sichuan,Mainland China,2020-02-26T10:13:11,531,3,307,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-26T10:33:02,480,12,249,47.12165,128.7382
,Italy,2020-02-26T23:43:03,453,12,3,41.87194,12.56738
Beijing,Mainland China,2020-02-26T00:53:02,400,4,235,39.9042,116.4074
Shanghai,Mainland China,2020-02-26T23:53:01,337,3,272,31.23042,121.4737
Hebei,Mainland China,2020-02-26T10:33:02,312,6,261,38.95023,115.3324
Fujian,Mainland China,2020-02-26T10:33:02,294,1,218,24.49435,118.4163
Guangxi,Mainland China,2020-02-26T14:13:10,252,2,147,23.72476,108.8076
Shaanxi,Mainland China,2020-02-26T14:13:10,245,1,192,35.39399,109.188
,Japan,2020-02-26T23:43:03,189,2,22,36.20482,138.2529
Yunnan,Mainland China,2020-02-26T05:13:16,174,2,144,24.47528,101.3431
Hainan,Mainland China,2020-02-26T12:43:02,168,5,129,19.56639,109.9497
Guizhou,Mainland China,2020-02-25T08:03:07,146,2,104,26.84296,107.2903
,Iran,2020-02-26T23:43:03,139,19,49,32.42791,53.68805
Tianjin,Mainland China,2020-02-26T12:43:02,135,3,96,39.34336,117.3616
Shanxi,Mainland China,2020-02-26T14:13:10,133,0,104,37.24257,111.8569
Liaoning,Mainland China,2020-02-26T00:13:05,121,1,88,41.94365,122.529
Jilin,Mainland China,2020-02-26T14:13:10,93,1,65,43.83788,126.5496
,Singapore,2020-02-26T19:33:02,93,0,62,1.352083,103.8198
Hong Kong,Hong Kong,2020-02-26T23:43:02,91,2,24,22.3193,114.1694
Gansu,Mainland China,2020-02-26T14:13:10,91,2,81,35.75183,104.2861
Xinjiang,Mainland China,2020-02-26T14:23:03,76,2,34,42.52464,87.53959
Inner Mongolia,Mainland China,2020-02-26T15:03:05,75,0,38,43.37822,115.0595
Ningxia,Mainland China,2020-02-26T03:53:01,71,0,65,37.19873,106.1581
Unassigned Location (From Diamond Princess),US,2020-02-26T20:03:06,42,0,0,0,0
,Thailand,2020-02-26T07:23:03,40,0,22,15.87003,100.9925
,Bahrain,2020-02-26T21:03:07,33,0,0,26.0667,50.5577
