Header line
Hubei,Mainland China,2020-02-18T23:13:11,61682,1921,9128,30.73781,112.2384
Guangdong,Mainland China,2020-02-18T13:43:02,1328,4,565,23.37903,113.7633
Henan,Mainland China,2020-02-18T14:23:02,1257,19,522,34.29043,113.3824
Zhejiang,Mainland China,2020-02-18T12:23:02,1172,0,535,29.14164,119.7889
Hunan,Mainland China,2020-02-18T13:43:02,1007,4,527,38.85133,-76.89086
Anhui,Mainland China,2020-02-18T13:43:02,982,6,361,31.84744,117.2882
Jiangxi,Mainland China,2020-02-18T01:33:01,933,1,310,27.08746,114.9042
Jiangsu,Mainland China,2020-02-18T12:33:02,629,0,280,33.14017,119.7889
Chongqing,Mainland China,2020-02-18T23:23:03,555,5,254,29.43159,106.9123
Shandong,Mainland China,2020-02-18T12:13:08,543,3,211,35.89396,117.9249
Diamond Princess cruise ship,Others,2020-02-18T16:53:03,542,0,0,0,0
Sichuan,Mainland China,2020-02-18T12:33:02,508,3,169,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-18T11:03:12,464,11,111,47.12165,128.7382
Beijing,Mainland China,2020-02-18T02:13:06,387,4,122,39.9042,116.4074
Shanghai,Mainland China,2020-02-18T05:03:08,333,1,177,31.23042,121.4737
Hebei,Mainland China,2020-02-18T23:53:01,306,4,136,38.95023,115.3324
Fujian,Mainland China,2020-02-18T09:43:08,292,0,93,24.49435,118.4163
Guangxi,Mainland China,2020-02-18T12:33:02,242,2,69,23.72476,108.8076
Shaanxi,Mainland China,2020-02-18T14:23:02,240,0,89,35.39399,109.188
Yunnan,Mainland China,2020-02-18T09:43:08,172,0,57,24.47528,101.3431
Hainan,Mainland China,2020-02-18T10:43:02,163,4,79,19.56639,109.9497
Guizhou,Mainland China,2020-02-18T13:33:02,146,2,66,26.84296,107.2903
Shanxi,Mainland China,2020-02-18T23:23:03,131,0,61,37.24257,111.8569
Tianjin,Mainland China,2020-02-18T13:53:02,128,3,48,39.34336,117.3616
Liaoning,Mainland China,2020-02-18T12:53:02,121,1,53,41.94365,122.529
Gansu,Mainland China,2020-02-18T14:53:02,91,2,62,35.75183,104.2861
Jilin,Mainland China,2020-02-18T07:43:02,89,1,36,43.83788,126.5496
,Singapore,2020-02-18T16:53:03,81,0,29,1.352083,103.8198
Xinjiang,Mainland China,2020-02-18T01:03:15,76,1,12,42.52464,87.53959
,Japan,2020-02-18T17:23:04,74,1,13,36.20482,138.2529
