Header line
Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,11788,30.73781,112.2384
Guangdong,Mainland China,2020-02-20T11:13:27,1332,5,642,23.37903,113.7633
Henan,Mainland China,2020-02-20T13:53:06,1265,19,637,34.29043,113.3824
Zhejiang,Mainland China,2020-02-20T11:13:27,1175,1,633,29.14164,119.7889
Hunan,Mainland China,2020-02-20T11:13:27,1010,4,634,38.85133,-76.89086
Anhui,Mainland China,2020-02-20T09:53:02,987,6,474,31.84744,117.2882
Jiangxi,Mainland China,2020-02-20T05:23:02,934,1,433,27.08746,114.9042
Diamond Princess cruise ship,Others,2020-02-20T15:53:03,634,2,1,0,0
Jiangsu,Mainland China,2020-02-20T12:53:02,631,0,356,33.14017,119.7889
Chongqing,Mainland China,2020-02-20T23:13:05,567,6,299,29.43159,106.9123
Shandong,Mainland China,2020-02-20T11:13:27,546,4,254,35.89396,117.9249
Sichuan,Mainland China,2020-02-20T09:53:02,520,3,217,30.2638,102.8055
Heilongjiang,Mainland China,2020-02-20T09:43:01,476,12,136,47.12165,128.7382
Beijing,Mainland China,2020-02-20T01:43:01,395,4,153,39.9042,116.4074
Shanghai,Mainland China,2020-02-20T06:03:03,334,2,199,31.23042,121.4737
Hebei,Mainland China,2020-02-20T11:13:27,307,5,169,38.95023,115.3324
Fujian,Mainland China,2020-02-20T12:23:02,293,1,126,24.49435,118.4163
Guangxi,Mainland China,2020-02-20T09:43:01,245,2,90,23.72476,108.8076
Shaanxi,Mainland China,2020-02-20T09:53:02,245,1,118,35.39399,109.188
Yunnan,Mainland China,2020-02-20T23:13:05,174,2,79,24.47528,101.3431
Hainan,Mainland China,2020-02-20T09:53:02,168,4,86,19.56639,109.9497
Guizhou,Mainland China,2020-02-20T09:43:01,146,2,72,26.84296,107.2903
Shanxi,Mainland China,2020-02-20T23:13:05,132,0,76,37.24257,111.8569
Tianjin,Mainland China,2020-02-20T12:53:02,131,3,59,39.34336,117.3616
Liaoning,Mainland China,2020-02-20T06:23:02,121,1,59,41.94365,122.529
,South Korea,2020-02-20T09:53:02,104,1,16,35.90776,127.7669
,Japan,2020-02-20T15:53:03,94,1,18,36.20482,138.2529
Gansu,Mainland China,2020-02-20T14:13:17,91,2,71,35.75183,104.2861
Jilin,Mainland China,2020-02-20T09:43:01,91,1,43,43.83788,126.5496
,Singapore,2020-02-19T22:13:08,84,0,34,1.352083,103.8198
Xinjiang,Mainland China,2020-02-20T13:33:02,76,1,22,42.52464,87.53959
Inner Mongolia,Mainland China,2020-02-20T12:53:02,75,0,16,43.37822,115.0595
Ningxia,Mainland China,2020-02-20T05:23:02,71,0,44,37.19873,106.1581
Hong Kong,Hong Kong,2020-02-20T23:13:05,68,2,6,22.3193,114.1694
,Thailand,2020-02-17T07:33:02,35,0,15,15.87003,100.9925
Taiwan,Taiwan,2020-02-20T02:13:19,24,1,2,23.69781,120.9605
,Malaysia,2020-02-19T09:33:03,22,0,15,4.210484,101.9758
Qinghai,Mainland China,2020-02-19T04:53:02,18,0,16,35.7448,96.40774
,Germany,2020-02-18T17:03:03,16,0,12,51.16569,10.45153
,Vietnam,2020-02-13T06:33:02,16,0,7,14.05832,108.2772
,France,2020-02-15T20:53:02,12,1,4,46.22764,2.213749
Macau,Macau,2020-02-20T02:13:19,10,0,6,22.19875,113.5439
,UK,2020-02-16T16:23:06,9,0,8,55.37805,-3.435973
,United Arab Emirates,2020-02-16T20:43:02,9,0,4,23.42408,53.84782
Queensland,Australia,2020-02-09T19:33:02,5,0,0,-20.91757,142.7028
British Columbia,Canada,2020-02-17T08:03:07,5,0,0,53.72667,-127.6476
,Iran,2020-02-20T17:33:02,5,2,0,32.42791,53.68805
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,-31.25322,146.9211
Victoria,Australia,2020-02-13T17:53:03,4,0,4,-37.47131,144.7852
,India,2020-02-16T07:43:02,3,0,3,20.59368,78.96288
,Italy,2020-02-07T17:53:02,3,0,0,41.87194,12.56738
,Philippines,2020-02-12T07:43:02,3,1,1,12.87972,121.774
South Australia,Australia,2020-02-17T08:13:09,2,0,2,-30.00023,136.2092
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0,43.65322,-79.38319
,Russia,2020-02-12T14:43:03,2,0,2,61.52401,105.3188
,Spain,2020-02-15T17:23:04,2,0,2,40.46367,-3.74922
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2,41.87811,-87.6298
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.57609,-120.9876
"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0,32.71573,-117.1611
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0,37.35411,-121.9552
,Belgium,2020-02-17T04:23:06,1,0,1,50.50389,4.469936
,Cambodia,2020-02-12T07:43:02,1,0,1,12.56568,104.991
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.98492,-81.24528
,Egypt,2020-02-14T23:53:02,1,0,0,26.82055,30.8025
,Finland,2020-02-12T00:03:12,1,0,1,61.92411,25.74815
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,30.15336,88.78786
,Nepal,2020-02-12T14:43:03,1,0,1,28.39486,84.12401
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.873054,80.7718
,Sweden,2020-02-01T02:13:26,1,0,0,60.12816,18.6435
"Boston, MA",US,2020-02-01T19:43:03,1,0,0,42.36008,-71.05888
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.05223,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.07305,-89.40123
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.78791,-117.8531
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.42412,-98.49363
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1,47.60621,-122.3321
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0,33.42551,-111.94
